facility id,notification,Attorney,Total
113234,P61698,PH3,2800
113234,P64311,PH3,2800
163836,P63034,PH3,1000
52906 ,P63603,PH3,1400
152867,P60869,PH3,400
108958,P63906,PH3,4800
175965,P64286,PH3,650
11818 ,P64286,NSF,15500
2016 ,P64286,NSF,15500
11818 ,P64286,NSF,22500
2016 ,P64286,NSF,22500
115389,P58099,WBW,6000
115389,P60564,WBW,6000
800387,P62493,WBW,7089.6
142356,P64313,WBW,1500
142356,P64313,NSF,1500
7411 ,P56338,KCM,6000
7411 ,P57825,KCM,6000
180624,P63700,KCM,800
166071,P55314,BTG,21825
800074,P55538,NSF,44100
800074,P55547,NSF,44100
800074,P59382,NSF,44100
800074,P62064,NSF,44100
141295,P62502,KCM,2500
141295,P62507,KCM,2500
70915 ,P60601,WBW,500
177309,P59053,BTG,1000
39855 ,P60046,BTG,3800
39855 ,P61446,BTG,3800
39855 ,P62003,BTG,3800
177440,P63157,WBW,1000
161300,P57821,WBW,500
161190,P60342,WBW,124587.6
148631,P61683,NSF,5000
148631,P61694,NSF,5000
148631,P64304,NSF,5000
179640,P62624,NSF,10000
179641,P62625,NSF,10000
79691 ,P61445,NSF,25000
79691 ,P62021,NSF,25000
99783 ,P60652,MJR,1000
99783 ,P60653,MJR,1000
133718,P63114,MJR,550
84863 ,P61987,MJR,540
164955,P58294,MJR,410
163208,P64063,MJR,2750
146708,P63111,MJR,850
111843,P63122,MJR,550
138929,P64264,MJR,360
58114 ,P64457,MJR,800
167443,P63013,MJR,350
154097,P64284,MJR,200
19678 ,P62383,MJR,850
170643,P63031,MJR,100
167183,P60147,MJR,425
161912,P63038,MJR,100
99860 ,P63025,MJR,1200
180689,P63852,MJR,950
181229,P64110,MJR,350
144397,P64114,MJR,250
46138 ,P62905,MJR,1100
175150,P64273,MJR,600
155748,P64283,MJR,1000
177666,P58299,MJR,1900
9961 ,P64510,MJR,550
171205,P64314,MJR,420
5484 ,P64064,MJR,1700
164910,P63032,MJR,600
159681,P64008,MJR,700
159681,P64008,INT,700
115536,P60556,WBW,3000
164512,P61114,KCM,2625
164512,P61113,KCM,2625
175226,P61444,NAS,70000
175226,P61413,NAS,70000
175226,P61404,NAS,70000
175226,P61416,NAS,70000
175226,P61432,NAS,70000
164472,P60954,NSF,2500
164472,P60952,NSF,2500
117290,P62506,AJO,2500
59449 ,P59627,KCM,9700
95308 ,P61428,NSF,5000
95308 ,P61436,NSF,5000
107656,P60553,NSF,500
107656,P60552,NSF,500
107656,P60551,NSF,500
94930 ,P56320,RRF,2000
94930 ,P56320,FAC,2000
94930 ,P56320,INT,2000
176577,P60651,NSF,5000
176577,P61227,NSF,5000
27497 ,P58825,KCM,1000
29411 ,P62359,AJO,2500
29411 ,P58194,AJO,2500
113098,P60654,WBW,2000
113098,P60657,WBW,2000
118984,P62151,NAS,32000
117724,P55631,TRB,10000
800420,P59711,RRF,3150
170728,P60070,RRF,500
140316,P58595,WBW,3000
152805,P59609,RRF,4500
152805,P59609,INT,4500
33329 ,SRV108,INT,2500
138068,P60851,INT,600
34505 ,P61553,INT,780
12572 ,P61552,INT,550
166960,P60454,INT,1100
163553,P57145,INT,1500
92211 ,P62483,INT,5400
174773,P62341,INT,1320
157852,P60908,INT,550
93117 ,P60956,INT,2625
178067,P62430,INT,560
178067,P62430,FAC,560
154989,P60811,INT,650
153651,P59631,INT,1200
152645,P61767,INT,250
124816,P61669,INT,2520
25196 ,P57476,INT,2600
155338,P61670,INT,900
161831,P59781,INT,600
102977,P58088,INT,200
164076,P60062,INT,550
140144,P34678,INT,550
178713,P59269,INT,600
35188 ,HRB2272,KCM,4000
44873 ,HRB2270,KCM,2500
173952,HRB2271,NAS,1000
173952,HRB2271,INT,1000
166246,P62248,BTG,15500
166246,P61762,BTG,15500
166246,P58523,BTG,15500
166246,P62232,BTG,15500
166246,P62209,BTG,15500
115394,P62058,TRB,1000
145836,P53149,NSF,1000
162631,P61760,TRB,9000
162631,P62246,TRB,9000
82554 ,P60305,TRB,15000
82554 ,P55279,TRB,15000
800372,P56572,TRB,20000
800372,P56569,TRB,20000
136011,P62433,NSF,1000
129816,P53148,TRB,2500
115563,P62053,KCM,1000
80492 ,P48497,TRB,500
171941,P61723,NSF,1500
171941,P61723,FAC,1500
171941,P61723,INT,1500
20604 ,P57087,KCM,2200
151582,P61671,NAS,1000
23487 ,P60502,NAS,5000
85943 ,P61191,NAS,25000
85943 ,P57812,NAS,25000
85943 ,P57818,NAS,25000
85943 ,P57817,NAS,25000
172968,P60333,NSF,20000
172968,P55893,NSF,20000
800026,P61016,TRB,115500
800026,P61015,TRB,115500
800026,P61019,TRB,115500
800026,P61018,TRB,115500
800026,P61002,TRB,115500
800026,P61003,TRB,115500
800026,P61007,TRB,115500
800026,P61004,TRB,115500
800026,P61008,TRB,115500
800026,P61008,INT,115500
155088,P61264,INT,400
169847,P61660,INT,1282
154947,P61974,INT,630
173161,P60079,INT,320
75142 ,P64200,INT,2750
158231,P59276,INT,900
179636,P58284,INT,800
91699 ,P60858,INT,400
29404 ,P59797,INT,650
172416,P60939,INT,1000
160798,PE ATCM 93116,INT,425
152386,P60940,INT,500
2748 ,P56731,INT,500
35972 ,P63054,INT,1050
35972 ,P63054,FAC,1050
165514,P59790,INT,4000
142115,P63058,INT,1550
131573,P61261,INT,1800
177684,P60916,INT,300
60442 ,P62017,INT,1100
180266,P59678,INT,250
158341,P59791,INT,1200
159208,P62449,INT,1000
175609,P61023,INT,3200
178225,P63052,INT,1200
147549,P60815,INT,800
131310,HRB2312,BTG,1000
72040 ,HRB2311,RRF,100
6384 ,HRB2313,RRF,440
123715,HRB2314,MJR,1500
123715,HRB2314,INT,1500
148236,P57243,TRB,80000
145836,P57645,NSF,3000
158147,P60311,WBW,2625
119907,P37234,BTG,2500
119907,P37232,BTG,2500
800396,P56568,BTG,6000
50134 ,P57288,WBW,40000
50134 ,P57290,WBW,40000
"16, 20",P57290,WBW,40000
"16, 20",P57290,FAC,40000
"16, 20",P57290,INT,40000
172792,P55647,BTG,5500
176720,P49606,WBW,10000
11245 ,P59502,KCM,33000
11245 ,P58588,KCM,33000
143723,P57655,KCM,425000
143723,P57663,KCM,425000
143723,P57681,KCM,425000
109065,P58698,NSF,10000
159199,P60401,TRB,3000
159199,P60401,INT,3000
170522,P59332,INT,300
174177,P61496,INT,550
150440,P59326,INT,1300
171207,P58896,INT,650
140489,P60066,INT,145
140949,P60127,INT,500
167561,P61910,INT,1000
167561,P61910,FAC,1000
132189,P59632,INT,1760
2924 ,P59633,INT,1760
65740 ,P62370,INT,1000
171631,P62344,INT,520
152417,P62478,INT,2400
150501,P61185,INT,1600
35188 ,HRB2260,KCM,4000
173952,HRB2259,NAS,1000
173952,HRB2259,INT,1000
143965,P61451,WBW,5000
143965,P59996,WBW,5000
159702,P50623,NAS,500
158437,P58397,WBW,500
124904,P62467,RRF,2000
124904,P58893,RRF,2000
118699,P59995,TRB,1925
172894,P60022,KCM,1100
154395,P49230,KRW,3500
86890 ,P61208,WBW,500
174731,P59842,WBW,300
174731,P59842,INT,300
97081 ,SRV100,NAS,5000
158277,P59311,NAS,750
174433,P61853,NAS,1650
176593,P60120,NAS,4620
167322,P59303,NAS,1125
155753,P61652,NAS,300
129105,P62326,NAS,990
145456,P58591,NAS,550
146708,P60901,NAS,330
146708,P60901,FAC,330
146708,P60901,INT,330
146708,P60902,INT,450
125660,P60951,INT,2000
107668,P62330,INT,1070
26219,P61653,INT,450
174914,P59313,INT,330
174891,P61497,INT,410
148921,P61218,INT,1500
148921,P61212,INT,550
174754,P61756,INT,3850
105441,P61422,INT,480
148990,P62321,INT,200
148990,P62321,FAC,200
140244,P61415,INT,1700
157167,P62325,INT,1300
150820,P61477,INT,700
174219,P61423,INT,600
134202,P62249,INT,1260
115355,P62404,INT,1300
159107,P60039,INT,600
130060,P56840,INT,390
130060,P56844,INT,560
125104,P59306,INT,1500
129281,P59943,INT,660
129281,P59943,FAC,660
113241,P62327,INT,630
151046,P59772,INT,550
142272,P55640,INT,1600
142271,P55641,INT,1600
176731,P60900,INT,700
176731,P60903,INT,700
155346,P57691,INT,850
4242,P51981,INT,750
165091,P62331,INT,2100
174779,P60905,INT,400
2715,P59628,INT,1760
151937,P62422,INT,650
124320,P58425,INT,650
155803,P59769,INT,750
34636 ,P62333,INT,800
153004,P61482,INT,975
35188 ,HRB2230,KCM,4000
114910,HRB2231,NAS,1000
114910,HRB2231,INT,1000
170686,P51522,TRB,3333.33
25638 ,P55666,MJR,3250
56940 ,P57071,RRF,1000
136539,P59912,MJR,2000
136539,P59765,MJR,2000
136539,P59920,MJR,2000
136173,P60112,NAS,20000
129816,P52198,TRB,31000
129816,P53141,TRB,31000
145723,P51521,TRB,3333
152946,P58845,MJR,4750
132368,P57143,NSF,2500
800182,P53138,TRB,7500
800182,P53138,FAC,7500
800182,P53138,INT,7500
4477 ,P52194,MJR,17000
4477 ,P55791,MJR,17000
4477 ,P52193,MJR,17000
160141,P51523,TRB,3333.33
172278,P57572,TRB,14000
172278,P57986,TRB,14000
172278,P58837,TRB,14000
172278,P60026,TRB,14000
172278,P55642,TRB,14000
155151,P61222,WBW,200
155151,P61210,WBW,200
163652,P61223,NSF,2000
